,0
0,"           0                1         2
0  n02437312    Arabian_camel  0.693323
1  n02437616            llama  0.213682
2  n02410509            bison  0.054972
3  n02132136       brown_bear  0.018018
4  n02403003               ox  0.005496
5  n02412080              ram  0.002883
6  n02117135            hyena  0.001761
7  n02113799  standard_poodle  0.001438
8  n02408429    water_buffalo  0.001267
9  n02486410           baboon  0.000913"
1,"           0                 1         2
0  n07753592            banana  0.987935
1  n03461385     grocery_store  0.003540
2  n07717556  butternut_squash  0.002527
3  n07717410      acorn_squash  0.002332
4  n07718472          cucumber  0.000849
5  n07753275         pineapple  0.000651
6  n07716906  spaghetti_squash  0.000539
7  n07716358          zucchini  0.000539
8  n03590841   jack-o'-lantern  0.000345
9  n07747607            orange  0.000173"
2,"           0                    1         2
0  n02134418           sloth_bear  0.227522
1  n02483708              siamang  0.218292
2  n02361337               marmot  0.126003
3  n02486410               baboon  0.072809
4  n02480855              gorilla  0.071276
5  n02481823           chimpanzee  0.056873
6  n02133161  American_black_bear  0.052637
7  n02483362               gibbon  0.030823
8  n03743016             megalith  0.028020
9  n02132136           brown_bear  0.021392"
3,"           0                  1         2
0  n11939491              daisy  0.958615
1  n03930313       picket_fence  0.011883
2  n03991062                pot  0.004752
3  n04522168               vase  0.002819
4  n02219486                ant  0.001651
5  n02206856                bee  0.001382
6  n03944341           pinwheel  0.000971
7  n02281406  sulphur_butterfly  0.000759
8  n04604644         worm_fence  0.000667
9  n01833805        hummingbird  0.000627"
4,"           0                               1         2
0  n02109047                      Great_Dane  0.856771
1  n02093428  American_Staffordshire_terrier  0.114112
2  n02093256       Staffordshire_bullterrier  0.009000
3  n02108089                           boxer  0.006908
4  n02108422                    bull_mastiff  0.003028
5  n03803284                          muzzle  0.001654
6  n02110341                       dalmatian  0.001073
7  n02102040                English_springer  0.000955
8  n04409515                     tennis_ball  0.000687
9  n02100236     German_short-haired_pointer  0.000665"
5,"           0                           1         2
0  n02107142                    Doberman  0.354567
1  n02106550                  Rottweiler  0.257999
2  n02107312          miniature_pinscher  0.160181
3  n02088632                    bluetick  0.084880
4  n02089078     black-and-tan_coonhound  0.025854
5  n02105412                      kelpie  0.015998
6  n02107574  Greater_Swiss_Mountain_dog  0.011961
7  n02109047                  Great_Dane  0.008722
8  n02093256   Staffordshire_bullterrier  0.008126
9  n02105162                    malinois  0.006833"
6,"           0          1         2
0  n02129165       lion  0.994368
1  n02125311     cougar  0.004272
2  n02115913      dhole  0.000467
3  n02128925     jaguar  0.000262
4  n02127052       lynx  0.000253
5  n02129604      tiger  0.000129
6  n02128385    leopard  0.000086
7  n02130308    cheetah  0.000081
8  n02123159  tiger_cat  0.000018
9  n02112137       chow  0.000009"
7,"           0                1         2
0  n02487347          macaque  0.658695
1  n02486410           baboon  0.331584
2  n02493509             titi  0.004393
3  n02493793    spider_monkey  0.003009
4  n02494079  squirrel_monkey  0.000837
5  n02484975           guenon  0.000433
6  n02486261            patas  0.000410
7  n02490219         marmoset  0.000187
8  n02137549         mongoose  0.000165
9  n02492035         capuchin  0.000150"
8,"           0                  1         2
0  n02279972            monarch  0.576141
1  n02206856                bee  0.035383
2  n03944341           pinwheel  0.033172
3  n07747607             orange  0.027685
4  n02281406  sulphur_butterfly  0.018101
5  n03991062                pot  0.013999
6  n07734744           mushroom  0.013049
7  n02281787           lycaenid  0.012290
8  n03443371             goblet  0.011725
9  n02277742            ringlet  0.010158"
9,"           0                   1             2
0  n01518878             ostrich  9.993292e-01
1  n02437616               llama  6.706533e-04
2  n02437312       Arabian_camel  1.291412e-07
3  n02423022             gazelle  2.512179e-08
4  n02018795             bustard  1.349992e-08
5  n02412080                 ram  1.121503e-08
6  n01806143             peacock  5.412931e-09
7  n07802026                 hay  5.383844e-09
8  n02012849               crane  5.344484e-09
9  n02092002  Scottish_deerhound  4.382347e-09"
