,0
0,"           0                       1         2
0  n02437312           Arabian_camel  0.549386
1  n02437616                   llama  0.359755
2  n02100877            Irish_setter  0.018578
3  n02102480          Sussex_spaniel  0.012744
4  n02102973     Irish_water_spaniel  0.011070
5  n02102177  Welsh_springer_spaniel  0.008605
6  n02410509                   bison  0.003745
7  n02113799         standard_poodle  0.003743
8  n02102318          cocker_spaniel  0.002937
9  n02099601        golden_retriever  0.002659"
1,"           0                 1             2
0  n07753592            banana  9.999883e-01
1  n07716906  spaghetti_squash  3.286956e-06
2  n07747607            orange  2.295287e-06
3  n03461385     grocery_store  1.164783e-06
4  n07717556  butternut_squash  8.408843e-07
5  n02927161      butcher_shop  4.146474e-07
6  n07716358          zucchini  3.396650e-07
7  n04141975             scale  2.854446e-07
8  n07717410      acorn_squash  2.828750e-07
9  n03127925             crate  1.852477e-07"
2,"           0                    1         2
0  n02480855              gorilla  0.727012
1  n02486410               baboon  0.083388
2  n02481823           chimpanzee  0.077348
3  n02133161  American_black_bear  0.032574
4  n02134418           sloth_bear  0.020105
5  n02132136           brown_bear  0.013264
6  n02361337               marmot  0.010236
7  n02483708              siamang  0.005924
8  n02487347              macaque  0.003666
9  n02111277         Newfoundland  0.002662"
3,"           0             1         2
0  n11939491         daisy  0.999131
1  n02219486           ant  0.000175
2  n02206856           bee  0.000160
3  n02165456       ladybug  0.000060
4  n02190166           fly  0.000048
5  n03991062           pot  0.000025
6  n03930313  picket_fence  0.000021
7  n02169497   leaf_beetle  0.000020
8  n07753275     pineapple  0.000018
9  n04522168          vase  0.000018"
4,"           0                               1         2
0  n02109047                      Great_Dane  0.998735
1  n02093428  American_Staffordshire_terrier  0.000501
2  n02108422                    bull_mastiff  0.000114
3  n02110341                       dalmatian  0.000109
4  n07615774                       ice_lolly  0.000053
5  n02113799                 standard_poodle  0.000034
6  n02093256       Staffordshire_bullterrier  0.000030
7  n02108089                           boxer  0.000029
8  n02109525                   Saint_Bernard  0.000029
9  n02102040                English_springer  0.000024"
5,"           0                   1         2
0  n02107312  miniature_pinscher  0.757055
1  n02105412              kelpie  0.136449
2  n02107142            Doberman  0.025428
3  n02088632            bluetick  0.019118
4  n02087046         toy_terrier  0.017504
5  n02085620           Chihuahua  0.010777
6  n02113978    Mexican_hairless  0.007680
7  n02110806             basenji  0.005993
8  n02105162            malinois  0.004096
9  n02106662     German_shepherd  0.001396"
6,"           0             1         2
0  n02129165          lion  0.901369
1  n02125311        cougar  0.088659
2  n02128925        jaguar  0.001606
3  n02128385       leopard  0.001539
4  n02127052          lynx  0.001493
5  n02129604         tiger  0.001084
6  n02130308       cheetah  0.000770
7  n02123159     tiger_cat  0.000407
8  n02128757  snow_leopard  0.000251
9  n02115641         dingo  0.000230"
7,"           0                    1         2
0  n02487347              macaque  0.940822
1  n02486410               baboon  0.059006
2  n02486261                patas  0.000045
3  n01514859                  hen  0.000025
4  n02490219             marmoset  0.000018
5  n02493509                 titi  0.000015
6  n02484975               guenon  0.000013
7  n02493793        spider_monkey  0.000010
8  n02102973  Irish_water_spaniel  0.000004
9  n02056570         king_penguin  0.000004"
8,"           0                  1         2
0  n02277742            ringlet  0.337751
1  n02281406  sulphur_butterfly  0.145890
2  n02264363           lacewing  0.139958
3  n02279972            monarch  0.111578
4  n02281787           lycaenid  0.034305
5  n02190166                fly  0.007726
6  n02280649  cabbage_butterfly  0.007389
7  n01688243     frilled_lizard  0.005350
8  n02276258            admiral  0.005204
9  n03047690               clog  0.005068"
9,"           0              1         2
0  n01518878        ostrich  0.990424
1  n02437616          llama  0.007648
2  n02437312  Arabian_camel  0.001503
3  n02018795        bustard  0.000266
4  n02012849          crane  0.000050
5  n07802026            hay  0.000018
6  n02410509          bison  0.000018
7  n02423022        gazelle  0.000013
8  n02412080            ram  0.000011
9  n02002556    white_stork  0.000005"
10,"           0                  1         2
0  n02056570       king_penguin  0.999948
1  n01829413           hornbill  0.000009
2  n07716906   spaghetti_squash  0.000008
3  n01843383             toucan  0.000005
4  n07717410       acorn_squash  0.000005
5  n04560804          water_jug  0.000003
6  n03404251           fur_coat  0.000002
7  n03590841    jack-o'-lantern  0.000001
8  n03950228            pitcher  0.000001
9  n02174001  rhinoceros_beetle  0.000001"
11,"           0              1             2
0  n07753275      pineapple  9.999698e-01
1  n07718747      artichoke  1.148661e-05
2  n07760859  custard_apple  1.014688e-05
3  n12267677          acorn  3.780654e-06
4  n03089624  confectionery  1.099636e-06
5  n07730033        cardoon  9.466511e-07
6  n02319095     sea_urchin  3.689754e-07
7  n07753592         banana  3.230924e-07
8  n07745940     strawberry  3.223738e-07
9  n12144580           corn  2.727593e-07"
12,"           0             1         2
0  n02356798  fox_squirrel  0.916513
1  n02137549      mongoose  0.075036
2  n02361337        marmot  0.002456
3  n02120505      grey_fox  0.000932
4  n02325366   wood_rabbit  0.000711
5  n02138441       meerkat  0.000343
6  n02326432          hare  0.000268
7  n02447366        badger  0.000243
8  n02441942        weasel  0.000226
9  n01883070        wombat  0.000220"
13,"           0                1         2
0  n02129604            tiger  0.642197
1  n02123159        tiger_cat  0.346984
2  n02128925           jaguar  0.001333
3  n02391049            zebra  0.001156
4  n02127052             lynx  0.000610
5  n03000134  chainlink_fence  0.000559
6  n02123045            tabby  0.000534
7  n02114712         red_wolf  0.000275
8  n02509815     lesser_panda  0.000201
9  n02109525    Saint_Bernard  0.000192"
14,"           0                 1         2
0  n02410509             bison  0.373982
1  n02408429     water_buffalo  0.369304
2  n02403003                ox  0.244103
3  n02504013   Indian_elephant  0.002837
4  n03868242            oxcart  0.002664
5  n01871265            tusker  0.001730
6  n02412080               ram  0.001516
7  n02504458  African_elephant  0.001133
8  n02415577           bighorn  0.000772
9  n02395406               hog  0.000201"
