,0
0,"           0                1         2
0  n02437312    Arabian_camel  0.954329
1  n02437616            llama  0.033602
2  n02410509            bison  0.005209
3  n02397096          warthog  0.000927
4  n02113799  standard_poodle  0.000582
5  n02396427        wild_boar  0.000536
6  n02132136       brown_bear  0.000328
7  n02412080              ram  0.000322
8  n02389026           sorrel  0.000259
9  n02403003               ox  0.000240"
1,"           0                 1             2
0  n07753592            banana  9.999682e-01
1  n07717410      acorn_squash  2.460655e-05
2  n07716906  spaghetti_squash  2.297956e-06
3  n03047690              clog  1.482866e-06
4  n07716358          zucchini  1.154078e-06
5  n01829413          hornbill  9.012135e-07
6  n07747607            orange  3.561601e-07
7  n07753275         pineapple  2.999234e-07
8  n03461385     grocery_store  1.579256e-07
9  n07749582             lemon  1.045000e-07"
2,"           0                    1         2
0  n02480855              gorilla  0.643993
1  n02481823           chimpanzee  0.115798
2  n02486410               baboon  0.100188
3  n02134418           sloth_bear  0.040577
4  n02361337               marmot  0.027858
5  n02132136           brown_bear  0.023818
6  n02133161  American_black_bear  0.022561
7  n02487347              macaque  0.007260
8  n02483708              siamang  0.005389
9  n02483362               gibbon  0.002979"
3,"           0           1         2
0  n11939491       daisy  0.998719
1  n04522168        vase  0.000390
2  n07930864         cup  0.000232
3  n03991062         pot  0.000070
4  n07745940  strawberry  0.000046
5  n03950228     pitcher  0.000038
6  n03476684  hair_slide  0.000037
7  n02219486         ant  0.000033
8  n04026417       purse  0.000020
9  n02206856         bee  0.000018"
4,"           0                               1         2
0  n02109047                      Great_Dane  0.996964
1  n02110341                       dalmatian  0.001217
2  n02093428  American_Staffordshire_terrier  0.000564
3  n02107142                        Doberman  0.000154
4  n02109525                   Saint_Bernard  0.000129
5  n02108422                    bull_mastiff  0.000075
6  n02108089                           boxer  0.000071
7  n07615774                       ice_lolly  0.000053
8  n02090721                 Irish_wolfhound  0.000039
9  n02089973                English_foxhound  0.000038"
5,"           0                        1         2
0  n02107312       miniature_pinscher  0.498891
1  n02107142                 Doberman  0.216007
2  n02106550               Rottweiler  0.097965
3  n02088632                 bluetick  0.094576
4  n02105412                   kelpie  0.076668
5  n02096051                 Airedale  0.003606
6  n02087046              toy_terrier  0.002179
7  n02105162                 malinois  0.002178
8  n02106662          German_shepherd  0.001277
9  n02089078  black-and-tan_coonhound  0.000892"
6,"           0        1         2
0  n02129165     lion  0.977711
1  n02125311   cougar  0.017603
2  n02127052     lynx  0.001238
3  n02128925   jaguar  0.000647
4  n02129604    tiger  0.000391
5  n02410509    bison  0.000391
6  n02130308  cheetah  0.000264
7  n02423022  gazelle  0.000244
8  n02115913    dhole  0.000223
9  n02422699   impala  0.000208"
7,"           0                 1         2
0  n02487347           macaque  0.995627
1  n02486410            baboon  0.004076
2  n02486261             patas  0.000224
3  n02493509              titi  0.000024
4  n02484975            guenon  0.000017
5  n03794056         mousetrap  0.000015
6  n02494079   squirrel_monkey  0.000007
7  n02489166  proboscis_monkey  0.000004
8  n02493793     spider_monkey  0.000002
9  n02490219          marmoset  0.000001"
8,"           0                  1         2
0  n02279972            monarch  0.376266
1  n04507155           umbrella  0.088332
2  n07930864                cup  0.025772
3  n02281406  sulphur_butterfly  0.022047
4  n02277742            ringlet  0.018439
5  n03047690               clog  0.017201
6  n03944341           pinwheel  0.015691
7  n07747607             orange  0.015678
8  n02909870             bucket  0.013953
9  n02276258            admiral  0.013099"
9,"           0              1             2
0  n01518878        ostrich  9.999985e-01
1  n02437616          llama  1.040286e-06
2  n02018795        bustard  3.903480e-07
3  n02437312  Arabian_camel  1.526121e-07
4  n02012849          crane  3.524388e-08
5  n02002556    white_stork  2.989432e-08
6  n02423022        gazelle  1.066134e-08
7  n01860187     black_swan  4.300988e-09
8  n07802026            hay  2.365646e-09
9  n03481172         hammer  1.833379e-09"
